# Converted from gridded data
   l    m 	C	Standard_Deviation
  21   -1  -0.01744858   0.00000000
  21    0   0.00174614   0.00000000
  21    1  -0.00113401   0.00000000
  21    2   0.00057455   0.00000000
  21    3   0.01052900   0.00000000
  21    4   0.00330370   0.00000000
  21    5   0.00562698   0.00000000
  21    6  -0.00716973   0.00000000
  21    7   0.00393006   0.00000000
  21    8  -0.01484059   0.00000000
  21    9   0.00515507   0.00000000
  21   10   0.00066888   0.00000000
  21   11  -0.00116651   0.00000000
  21   12  -0.00660458   0.00000000
  21   13  -0.01215550   0.00000000
  21   14   0.00569688   0.00000000
  21   15   0.01814807   0.00000000
  21   16   0.01218924   0.00000000
  21   17   0.00100021   0.00000000
  21   18   0.02400585   0.00000000
  21   19  -0.00649734   0.00000000
  21   20  -0.00849796   0.00000000
  21   21   0.00061898   0.00000000
  22  -22   0.00627723   0.00000000
  22  -21   0.01680302   0.00000000
  22  -20   0.00880265   0.00000000
  22  -19   0.00242568   0.00000000
  22  -18  -0.01295186   0.00000000
  22  -17  -0.00614048   0.00000000
  22  -16  -0.01051140   0.00000000
  22  -15  -0.00032715   0.00000000
  22  -14   0.00995144   0.00000000
  22  -13   0.00634395   0.00000000
  22  -12  -0.00172084   0.00000000
  22  -11   0.00974732   0.00000000
  22  -10   0.01108293   0.00000000
  22   -9   0.00031256   0.00000000
  22   -8  -0.00212108   0.00000000
  22   -7  -0.00010067   0.00000000
  22   -6  -0.00316325   0.00000000
  22   -5  -0.00881102   0.00000000
  22   -4   0.00047184   0.00000000
  22   -3  -0.00915856   0.00000000
  22   -2  -0.00605818   0.00000000
  22   -1  -0.00399508   0.00000000
  22    0  -0.00731224   0.00000000
  22    1  -0.00557778   0.00000000
  22    2  -0.00917031   0.00000000
  22    3   0.00146137   0.00000000
  22    4  -0.00373028   0.00000000
  22    5  -0.01034315   0.00000000
  22    6  -0.00107777   0.00000000
  22    7   0.00255098   0.00000000
  22    8   0.00221375   0.00000000
  22    9  -0.00098880   0.00000000
  22   10   0.00382172   0.00000000
  22   11  -0.00264340   0.00000000
  22   12  -0.00984519   0.00000000
  22   13   0.00708473   0.00000000
